ace.bible.txt	are.bible.txt	ban.bible.txt	bci.bible.txt	blz.bible.txt	bru.bible.txt	btx.bible.txt	bvr.bible.txt	cab.bible.txt	cac.sansebastian.txt	caq.bible.txt	cat.evangelica.txt	ces.living.txt	cha.2003.txt	chf.bible.txt	chr.bible.txt	crn.bible.txt	cym.colloquial2013.txt	dan.hverdagsdansk.txt	deu.newworld.txt	deu.schlachter.txt	dgi.bible.txt	dgr.bible.txt	dts.bible.txt	dur.bible.txt	eng.common.txt	eng.goodnews.txt	esi.bible.txt	esu.bible.txt	etu.bible.txt	ffm.bible.txt	fin.1992.txt	gag.latin.txt	gle.bible.txt	gug.bible.txt	gvn.bible.txt	gwi.bible.txt	hop.bible.txt	hrv.2000.txt	hun.2003.txt	iba.bible.txt	ibo.bible.txt	inb.bible.txt	ind.firman.txt	isl.bible.txt	jpn.colloquial.txt	jra.bible.txt	kaa.latin.txt	khk.bible.txt	kki.bible.txt	kor.1985.txt	kqs.bible.txt	lem.bible.txt	mad.bible.txt	mak.bible.txt	mcb.bible.txt	mco.bible.txt	mhy.bible.txt	mto.bible.txt	myx.bible.txt	naq.bible.txt	nhg.bible.txt	nhw.bible.txt	nld.2007.txt	nya.bible.txt	pab.bible.txt	pah.bible.txt	pib.bible.txt	poi.bible.txt	prk.bible.txt	qub.bible.txt	quy.bible.txt	ron.2006.txt	run.bible.txt	sme.bible.txt	snf.bible.txt	spa.newworld.txt	srq.bible.txt	tac.bible.txt	tgl.1996.txt	thk.bible.txt	tuk.mukaddes.txt	tur.newworld.txt	uig.latin.txt	vie.bandich.txt	wol.bible.txt	yua.bible.txt	zho.contemp.txt	zho.new.txt	zos.bible.txt
1	di- pat	nthanha -ma	ring d- ija -ke	nin	aana	léq	i ja	yina an․ gaya	ja -geí -san	'aj 'ay	i- suh	on	kde	månu nai	cada	harv	a'u -ni	ble	hvor	wo	wo	nyɩn 	we- laedì	yago	tɛ́ -lá	where	where	su -mi	na -u -wa -mi	fan	ho- to	mi -ssä 	nere -da	cá	moõ -pa	wanja -bu	ad- aajii	haqam -o	gdje	hol	di- ni	òle ebe	mai -pi -tak	di mana -kah	hvar	ど -こ	pơ pă	qay -aq -ta	haa -na	hoki	어디	kuɛɛ	NA	ka'- imma	kemae	tya -ra	ma	hang awe	joma -s -e'e	wahe ena	mapa -b	cöne	canque	waar	ku- ti	aliyo -ako 	mome	ginaka -lu	ju̱t́	dee mawx	may -chö -taj	may -pi -taq	unde	he he	gos	y- aa gada	dónde	mangu -e	ko- che	na- saan	a- rîkû	nire -de	nere -de	qe -yer -de	tại đâu	ana	tu'ux	哪 裡	哪 裡	jut
2	di- pat	nthanha -la -ma	ring d- ija	NA	m- aana	léq	i ja	gun- an․ gaya	ja -lía -bei	'aj -til	NA	on	kde	månu nai	cada	NA	a'u -ni	ble	hvor	wo	wo	NA	edı̨į̀	yago	tɛ́ -lá	where	where	su -mi	na -ni	NA	ho- to	mi -ssä 	nere -da	cé an áit	moõ -pa	wanja -bu	nijin	haqam	gdje	hol	NA	NA	mai -pi -tak	di mana	hvar	ど -こ	pơ pă	qay jer -de	haa -na	hoki	어디 -서	nɛ̀ɛ́	háányɛ́	ka'- imma	kemae	tya -ra	ma	hang awe	joma	wahe ena	mapa -b	cöne	canque	waar	ku- ti	aliyo -koa	mome	ginaka	ju̱t́	dee mawx	may -chö -taj	may -pi -m	unde	he he	gos	NA	dónde	mangu -e	ko- che	saan	kû	nire -de	nere -de	qe -yer -de	tại đâu	f- u	tu'ux	哪 裡	哪 裡	NA
3	soe	ngunha -la -ma	nyen	wan	ime	NA	ise	ana- nga	cá	mach	a- chīö	qui	NA	håyi	caxca	gago	a'a -ta -ni	pwy	hvem	wer	wer	ãa	NA	aa	nóo	who	who	NA	ki -a	é- nê	ho- mo	ke -ne kuka	kіm	cé	máva piko	wanya -ngka	NA	haki -ø	tko (tko)	ki	s- apa	ònye 	pi -tak	si- apa yang	hver	だれ	hlơi	kim	hen	nani	누구 -가	nɛ̀ɛ́ -nɛ̀	aányɛ́	s- apa	inai	tya -ni -mpa -tyo -ra	pɨn	hie	NA	naanu	tari -e	öque	ajqueya	wie	ndani	xala	mara -name	katu	NA	mawx	pi -taj	pi -taq	cine	nde	gii	ɓa	quién	NA	chie -ri	NA	n'- ûû	NA	kim	qandaq	ai	k- u	máax	誰	誰	ti -'ajcuy
4	keu- peue	iwunha -nga -nta -ma	apa	nzu	upa -na	ntrớu	kade	nyi- burr- yinmiya	cá -ba -gi	NA	a- suh	quin -a	jaký -ou	sa' håfa na	NA	gado	NA	pam	hvad	welch -en	was für	bʋ̃ʋ	NA	inge -i	ȩn -á	what	why	su -m -man	ca -mek	nan	ho- n- di	mi -n -kä	ne	cad	mba'e -icha piko	NA	jaghaii	hihta (himu)	kakav -u	mi -csoda	nama	gini	ima -tak	apa	hver	なん	hơgĕt	qan -day	yamar	di- a- ki	무엇 -은	yɛɛ	bɛ́- yaátɛ́	apa	apa	tata -tyo	ti	ma inun	ti	shiina	mâ	tli	NA	NA	i- -a- nji	xoana -re hoka	NA	klu	NA	yuh ka mawx	ima	ima	ce	ki	NA	w- iida	qué	mbae	NA	ano -ng	bû- rîkû	näme	ne	qandaq -mu	gì	b- an	ba'ax	什麼	甚麼	NA
5	peue -kon	iwunha -nga	apa krana	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	an- nga nula	cá uágu	tas yuj	pò yòh	per què	proč	sa' put håfa na	cua ' uc'a	gado -no	a'i -ni een cɨn	pam	hvor -for	wes- halb	warum	bʋ̃ʋ n'ʋ so	ayìı -ha	inge dɛ -i	moo ȩn	why	why	su -m -man	ciin -llu	jen	ko waɗi	mi -tä	ne -çіn	cé an fáth	mba'e -rã piko	NA	jaghaii	hinoqw	za- što (što)	mi -ért	nama kebuah	gini	ima -pa -tak	meng- apa	hví	なぜ	hyư̆m	ne -ge	yuu -n -d	nhani	어찌 -하여사	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	tya -ra o- kant -ak -a	na'amy	wuah inun	tya̱jx	lwa- shiina	tare -xa	tli para	quenque	waarom	mu- de- ra- nji	xoana hoka	gara	klu	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -taq	de ce	kuki	manne	tah húu ya	por qué	ma	ta- chi -ri	bakit	kî	näme üçin	neden	neme	tại sao	l- u tax	ba'ax ten	何 必	何 必	ti -cøtoya
6	peue	iwunha -ma	apa	nzu	upa	nṓq	kai	mun- nga	cá -ba	tas	a- suh	què	co (co)	håfa	cua '	gado	ti'i -taj -qui	beth	hvor -dan	was	was	bʋ̃ʋ n'ʋ	ayìı	inge	ȩn -á	what	where	su -mik	ca -mek	NA	ko ɗum	mi -tä	ne	cá	mba'e -iko	wanja -mun	NA	hihta (himu)	što (što)	mi -t	nama	gini	ima -tak	NA	hvað	何	hơgĕt	ne	yuu	chi- o- ni	무엇 -을	yɛɛ	aátɛ́	apa	apa -mo	tata -rika	ti	inun	ti -s	shiina	tare -e	tli	tlaque	wat	chiyani	aliyo -ako -ta -ite	gara	klu	t́i -t́am	pa tix	ima -ta -raj	ima -ta -raq	ce	iki	mii -a -id	NA	qué	mbae	ta- chi -ri	NA	mbi	näme	ne	neme	gì	l- u	ba'ax	什麼	甚麼	ti
7	NA	iwunha -ma	apa	nzu	upa	NA	kai	gun- nga	cá -ba	tas	NA	què	co (co)	håfa	cua '	gado	ti'i -taj -qui	beth	NA	was	was	bʋ̃ʋ n'ʋ	ayìı	inge	ȩn -á	what	NA	su -mik	ca -mek	NA	ko ɗum	mi -tä	ne	NA	mba'e -iko	wanja -bu	NA	hihta (himu)	što (što)	mi -t	nama	gini	ima -tak	NA	hvað	何	hơgĕt	ne	yuu	chi- o- ni	무엇 -을	yɛɛ	aátɛ́	apa	apa -mo	tata -rika	ti	inun	NA	shiina	tare -e	tli	tlaque	NA	chiyani	NA	NA	klu	t́i -t́am	pa tix	ima -ta -raj	ima -ta -raq	ce	iki	mii -a -id	na	qué	mbae	ta- chi -ri	NA	mbi	NA	ne	neme	gì	l- u	ba'ax	什麼	甚麼	ti
8	peue	nthanha -ia -ka -ma	apa	nzu	upa	NA	kai	mun- nga	cá -ba	'aj	a- suh	què	co (co)	håfa	cada	gado	ti'i -taj -qui	beth	NA	was	wo -mit	bʋ̃ʋ n'ʋ	ayìı	inge	ȩn -á	what	NA	su -mik	ca -mek -llu	NA	ko ɗum	mi -stä 	ne	NA	mba'e -iko	wanja -mun	NA	hihta (himu)	što (što)	mi -vel	nama	gini	ima	NA	hver -ju	何	hơgĕt	ne	yuu	chi- o- ni	무엇 -을	yɛɛ	aátɛ́	apa	apa -mo	tya -rika -tyo	NA	inun	ti -s	shiina	tare -e	tli	tlaque	NA	chiyani	NA	gara	klu	NA	pa tix	ima -ta -raj	ima -wan -raq	ce	iki	mii -a -inna	na	qué	ma	ta- chi -ri	NA	kû	näme	ne	neme	gì	l- u	ba'ax	什麼	甚麼	ti
9	peue -kon	iwunha -nga -la	apa	nzu ti	no- ngko'- upa	nṓq	e- ng- kai	NA	cá san uágu	tas yuj	kūö yòh	per què	proč	håfa na	cua ' uc'a	gado -no	a'i -ni	pam	hvor -for	warum	was	bʋ̃ʋ n'ʋ so	dànì -ghǫ	inge	moo ȩn	why	why	su -m -man	ciin	jen	ko	mi -ksi	ne -çіn	cé an fáth	mba'e -re piko	wanyu -rri -nku	jaghaii	hinoqw	što (što)	mi -t	nama kebuah	gini	ima -pa -tak	meng- apa	hví	なぜ	yua hơgĕt	ne -ge	yuu -n -d	nhani	왜	le yɛɛ	a- nyí- aátɛ́	ar- apa	angng- apa	antari gara	na'amy	wuah inun	tya̱jx	lwa- shiina	tare -xa	tli -ca	quenque	waarom	bwa- nji	xoana hoka	mara -name -hũ	klu china -nu	t́iiga	yuh ka mawx	ima -ni -r -taj	ima -na -sqa -taq	de ce	iki- ki	manne	tah húu ya	por qué	mbae -rã	cho -ni -gá	bakit	mbi	näme -ä	neden	NA	sao	l- u tax	ba'ax ten	為 什麼	為 甚麼	ti -cøtoya
10	peue 	ngunha -ma	nyen	nzu	upa	nṓq	uga	an- guyinmiya	cá -tei -san	tas	tö- sitih	quin -a	kdo (kdo)	håfa na	camba	gado usdi	ti'i -taa -ni	beth	hvem	was für	wer	ãa	amìı	inge	nóo	what kind of	what kind of	NA	qaillun	bhaghé é- kpak	ho- mo	mi -kä	kіm -dіr	cé an sórt	máva -te -pa	NA	juu	haki -ø	tko (tko)	ki -csoda	s- apa	gini	ima	si- apa -kah	hvílíkur	どう -いう	hlơi	kim	yamar	u- a- ki	누구 -이 -기에	yɛɛ	yaátɛ́	apa	apa -mo	tya -ni -mpa -tyo -ra	pɨn	inun	vintso̱ -s	shiina	mâ	tli	ajqueya	wie	u- -a- ku- tani	xoare	mara	gi	i̱ -apaap	yuh ka mawx	NA	ima	ce fel de	ki	gii	ɓa	qué clase de	NA	ta- chi -ri	ano	ata	nähili	nasıl	qandaq	ai	k- an	máax	什麼	甚麼	ti -yø
