ace-bible.txt	are-bible.txt	ban-bible.txt	bci-bible.txt	blz-bible.txt	bru-bible.txt	btx-bible.txt	bvr-bible.txt	cab-bible.txt	cac-sansebastian.txt	caq-bible.txt	cat-evangelica.txt	ces-living.txt	cha-2003.txt	chf-bible.txt	chr-bible.txt	crn-bible.txt	cym-colloquial2013.txt	dan-hverdagsdansk.txt	deu-newworld.txt	deu-schlachter.txt	dgi-bible.txt	dgr-bible.txt	dts-bible.txt	dur-bible.txt	eng-common.txt	eng-goodnews.txt	esi-bible.txt	esu-bible.txt	etu-bible.txt	ffm-bible.txt	fin-1992.txt	gag-latin.txt	gle-bible.txt	gug-bible.txt	gvn-bible.txt	gwi-bible.txt	hop-bible.txt	hrv-2000.txt	hun-2003.txt	iba-bible.txt	ibo-bible.txt	inb-bible.txt	ind-firman.txt	isl-bible.txt	jpn-colloquial.txt	jra-bible.txt	kaa-latin.txt	khk-bible.txt	kki-bible.txt	kor-1985.txt	kqs-bible.txt	lem-bible.txt	mad-bible.txt	mak-bible.txt	mcb-bible.txt	mco-bible.txt	mhy-bible.txt	mto-bible.txt	myx-bible.txt	naq-bible.txt	nhg-bible.txt	nhw-bible.txt	nld-2007.txt	nya-bible.txt	pab-bible.txt	pah-bible.txt	pib-bible.txt	poi-bible.txt	prk-bible.txt	qub-bible.txt	quy-bible.txt	ron-2006.txt	run-bible.txt	sme-bible.txt	snf-bible.txt	spa-newworld.txt	srq-bible.txt	tac-bible.txt	tgl-1996.txt	thk-bible.txt	tuk-mukaddes.txt	tur-newworld.txt	uig-latin.txt	vie-bandich.txt	wol-bible.txt	yua-bible.txt	zho-contemp.txt	zho-new.txt	zos-bible.txt
40002002	dipat	nthanhama	ring dijake	nin	aana	léq	i ja	yina an-gaya	jageísan	'aj 'ay	isuh	on	kde	månu nai	cada	harv	a'uní	ble	hvor	wo	wo	nyɩnɛ	welaedì	yago	tɛ́lá	where	where	sumi	nauwa-mi	fan	hoto	missä	neredä	cá	moõpa	wanjabu	adaajii	háqamo	gdje	hol	dini	òle ebe	maipitak	di manakah	hvar	どこ	pơpă	qayaqta	haana	hoki	어디	kuɛɛ	NA	ka'imma	kemae	tyara	ma	hang awe	jómase'e	waheena	mapab	cöne	canque	waar	kuti	aliyako	mome	ginaklu	ju̱t́	dee mawx	maychötaj	maypitaq	unde	hehe	gos	yada	dónde	mangue	koche	nasaan	arî kû	nirede	nerede	qeyerde	tại đâu	ana	tu'ux	哪裡	哪裡	jut
40002004	dipat	nthanhalama	ring dija	NA	maana	léq	i ja	gun-an․gaya	jalíabei	'ajtil	NA	on	kde	månu nai	cada	NA	a'uni	ble	hvor	wo	wo	NA	edı̨į̀	yago	tɛ́lá	where	where	sumi	nani	NA	hoto	missä	neredä	cén áit	mamópa	wanjabu	nijin	haqam	gdje	hol	NA	NA	maipitak	di mana	hvar	どこ	pơpă	qay jerde	haana	hoki	어디서	nɛɛ	háányɛ́	ka'imma	kemae	tyara	ma	hang awe	joma	waheena	mapab	cöne	canque	waar	kuti	aliyekoa	mome	ginaka	ju̱t́	dee mawx	maychötaj	maypim	unde	hehe	gos	NA	dónde	mangue	koche	saan	kû	nirede	nerede	qeyerde	tại đâu	fu	tu'ux	哪裡	哪裡	NA
40003007	soe	ngunhalama	nyen	wan	ime	NA	ise	ana-nga	ca	mach	achīö	qui	NA	håyi	caxca	gago	a'atani	pwy	hvem	wer	wer	ãa	NA	aa	nóo	who	who	NA	kia	énê	homo	kuka	kіm	cé	máva piko	wanyangka	NA	hak	tko	ki	sapa	ònye	pitak	siapa yang	hver	だれ	hlơi	kim	hen	nani	누가	nɛ̀ɛ́-nɛ̀	aányɛ́	sapa	inai	tyanimpatyora	pɨn	hie	NA	naanu	tari-e	öque	ajqueya	wie	ndani	xala	maraname	katu	NA	mawx	pitaj	pitaq	cine	nde	gii	ɓa	quién	NA	chieri	NA	n'ûû	NA	kim	qandaq	ai	ku	máax	誰	誰	ti'ajcuy
40005046	keupeue	iwunhangantama	apa	nzu	upana	ntrớu	kade	nyiburr-yinmiya	cábagi	NA	asuh	quina	jakou	sa' håfa na	NA	gado	NA	pam	hvad	welchen	was für	bʋ̃ʋ	NA	ingei	ȩná	what	why	summan	camek	nan	hendi	minkä	ne	cad	mba'éicha piko	NA	jaghaii	hihta	kakvu	micsoda	nama	gini	imatak	apa	hver	なん	hơgĕt	qanday	yamar	dyaki	무슨	yɛɛ	bɛ́yaátɛ́	apa	apa	tatatyo	ti	ma inun	ti	shiina	mâ	tli	NA	NA	yanji	xoanere hoka	NA	klu	NA	yuh ka mawx	ima	ima	ce	ki	NA	wiida	qué	mbae	NA	anong	bûrîkû	näme	ne	qandaqmu	gì	ban	ba'ax	什麼	甚麼	NA
40006028	pakon	iwunhanga	apa krana	nzu ti	nongko'upa	nṓq	engkai	an-nga nula	ca uágu	tas yuj	pòyòh	per què	proč	sa' put håfa na	cua' uc'a	gadono	a'ini een cɨn	pham	hvorfor	weshalb	warum	bʋ̃ʋ n'ʋ so	ayìıha	inge dɛi	moo ȩn	why	why	summan	ciin-llu	jen	ko waɗi	mitä	neçіn	cé an fáth	maerã piko	NA	jaghaii	hinoqw	zašto	miért	nama kebuah	gini	imapatak	mengapa	hví	なぜ	hyư̆m	nege	yuund	nhani	어째서	le yɛɛ	anyíatɛ́	arapa	angngapa	tyara okantaka	na'amy	wuah inun	tya̱jx	lwashiina	tarexa	tli para	quenque	waarom	muderanji	xoana hoka	gara	klu	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce	kuki	manne	tahhúu ya	por qué	ma	tachiri	bakit	kî	näme üçin	neden	neme	tại sao	lu tax	ba'ax ten	何必	何必	ticøtoya
40006031a	peue	iwunhama	apa	nzu	upa	nṓq	kai	mun-nga	cába	tas	asuh	què	co	hafa	cua'	gado	ti'itajqui	beth	hvordan	was	was	bʋ̃ʋ n'ʋ	ayìı	inge	ȩná	what	where	sumik	camek	NA	koɗum	mitä	ne	cá	mba'éiko	wanjamun	NA	hihta	što	mit	nama	gini	imatak	NA	hvað	何	hơgĕt	ne	yuu	choni	무엇을	yɛɛ	aátɛ́	apa	apamo	tatarika	ti	inun	tis	shiina	tare-e	tli	tlaque	wat	chiyani	aliyakotaite	gara	klu	t́it́am	patix	imataraj	imataraq	ce	iki	maid	NA	qué	mbae	tachiri	NA	mbi	näme	ne	neme	gì	lu	ba'ax	什麼	甚麼	ti
40006031b	NA	iwunhama	apa	nzu	upa	NA	kai	gun-nga	cába	tas	NA	què	co	håfa	cua'	gado	ti'itajqui	beth	NA	was	was	bʋ̃ʋ n'ʋ	ayìı	inge	ȩná	what	NA	sumik	camek	NA	koɗum	mitä	ne	NA	mba'éiko	wanjabu	NA	hihta	što	mit	nama	gini	imatak	NA	hvað	何	hơgĕt	ne	yuu	choni	무엇을	yɛɛ	aátɛ́	apa	apamo	tatarika	ti	inun	NA	shiina	tare-e	tli	tlaque	NA	chiyani	NA	NA	klu	t́it́am	patix	imataraj	imataraq	ce	iki	maid	na	qué	mbae	tachiri	NA	mbi	NA	ne	neme	gì	lu	ba'ax	什麼	甚麼	ti
40006031c	peue	nthanhiakama	apa	nzu	upa	NA	kai	mun-nga	cába	'aj	asuh	què	co	håfa	cada	gado	ti'itajqui	beth	NA	was	womit	bʋ̃ʋ n'ʋ	ayìı	inge	ȩná	what	NA	sumik	camek-llu	NA	koɗum	mistä	ne	NA	mba'éiko	wanjamun	NA	hihta	što	mivel	nama	gini	ima	NA	hverju	何	hơgĕt	ne	yuu	choni	무엇을	yɛɛ	aátɛ́	apa	apamo	tyarikatyo	NA	inun	tis	shiina	tare-e	tli	tlaque	NA	chiyani	NA	gara	klu	NA	patix	imataraj	imawanraq	ce	iki	mainna	na	qué	ma	tachiri	NA	kû	näme	ne	neme	gì	lu	ba'ax	什麼	甚麼	ti
40008026	pakon	iwunhangala	apa	nzu ti	nongko'upa	nṓq	engkai	NA	cásan uágu	tas yuj	kūöyòh	per què	proč	håfa na	cua' uc'a	gadono	a'ini	pam	hvorfor	warum	was	bʋ̃ʋ n'ʋ so	dànìghǫ	inge	moo ȩn	why	why	summan	ciin	jen	ko	miksi	neçіn	cén fáth	mba'ére piko	wanyurrinku	jaghaii	hinoqw	što	mit	nama kebuah	gini	imapatak	mengapa	hví	なぜ	yua hơgĕt	nege	yuund	nhani	왜	le yɛɛ	anyíatɛ́	arapa	angngapa	antari gara	na'amy	wuah inun	tya̱jx	lwashiina	tarexa	tlica	quenque	waarom	bwanji	xoana hoka	maranameuhũ	klu chinanu	t́iiga	yuh ka mawx	imanirtaj	imanasqataq	de ce	igiki	manne	tahhúu ya	por qué	mbaerã	chonigá	bakit	mbi	nämä	neden	NA	sao	lu tax	ba'ax ten	為什麼	為甚麼	ticøtoya
40008027	peu	ngunhama	nyen	nzu	upa	nṓq	kuga	an-guyinmiya	cáteisan	tas	tösitih	quina	kdo	håfa na	caba	gado usdi	ti'itaani	beth	hvem	was für	wer	ãa	amìı	inge	nóo	what kind of	what kind of	NA	qaillun	bhaghé ekpak	homo	mikä	kіmdіr	cén sórt	mávatepa	wanju	juu	hak	tko	kicsoda	sapa	gini	ima	siapakah	hvílíkur	どういう	hlơi	kim	yamar	waki	누구이기에	yɛɛ	yaátɛ́	apa	apamo	tyanimpatyora	pɨn	inun	vintso̱s	shiina	mâ	tli	ajqueya	wie	wotani	xoare	marã	gi	i̱apaap	yuh ka mawx	NA	ima	ce fel de	ki	gii	ɓa	qué clase de	NA	tachiri	ano	ata	nähili	nasıl	qandaq	ai	kan	máax	什麼	甚麼	tiyø
