verse	label	cluster	neighbor	sil_width	QW	context
43001038b	place.event	1	5	0.498376180534969	where	" Rabbi ( which is translated Teacher ) , where are you staying ? "
43011034	place.event	1	5	0.490794518998811	where	He asked , " Where have you laid him ? " They replied , " Lord , come and see . "
43009012	place.object.sg	1	5	0.485713037351067	where	They asked , " Where is this man ? " He replied , " I don’t know . "
40002002	place.object.sg	1	5	0.483933655041494	where	They asked , " Where is the newborn king of the Jews ? We’ve seen his star in the east , and we’ve come to honor him . "
42022009	place.event	1	5	0.47966783551143	where	They said to him , " Where do you want us to prepare it ? "
40002004	place.event	1	5	0.475616393885547	where	He gathered all the chief priests and the legal experts and asked them where the Christ was to be born .
43007011	place.object.sg	1	5	0.473809365429729	where	The Jewish leaders were looking for Jesus at the festival . They kept asking , " Where is he ? "
43006005	place.event	1	5	0.472798666008598	where	Jesus looked up and saw the large crowd coming toward him . He asked Philip , " Where will we buy food to feed these people ? "
43008019	place.object.sg	1	5	0.470304914757747	where	They asked him , " Where is your Father ? " Jesus answered , " You don’t know me and you don’t know my Father . If you knew me , you would also know my Father . "
42017037	place.event	1	5	0.469582874908362	where	The disciples asked , " Where , Lord ? " Jesus said , " The vultures gather wherever there’s a dead body . "
46015055b	NA	1	5	0.461596648291368	~	
41014014	NA	1	5	0.456423568647741	where	Wherever he enters , say to the owner of the house , ‘ The teacher asks , " Where is my guest room where I can eat the Passover meal with my disciples ? " ’
46015055a	NA	1	5	0.431348313208153	~	
43008010	place.object.pl	1	3	0.428794177207001	where	Jesus stood up and said to her , " Woman , where are they ? Is there no one to condemn you ? "
42017017	place.object.pl	1	5	0.42518784329642	where	Jesus replied , " Weren’t ten cleansed ? Where are the other nine ?
40013054a	place.from.source	1	5	0.398025592560638	where	When he came to his hometown , he taught the people in their synagogue . They were surprised and said , " Where did he get this wisdom ? 
41006002a	place.from.source	1	2	0.386739472247951	where	On the Sabbath , he began to teach in the synagogue . Many who heard him were surprised . " Where did this man get all this ? 
40015033	NA	1	5	0.38423752739594	where	His disciples replied , " Where are we going to get enough food in this wilderness to satisfy such a big crowd ? "
43013036	place.goal	1	5	0.384029108909179	where	Simon Peter said to Jesus , " Lord , where are you going ? " Jesus answered , " Where I am going , you can’t follow me now , but you will follow later . "
43016005	place.goal	1	5	0.37611720129693	where	But now I go away to the one who sent me . None of you ask me , ‘ Where are you going ? ’
66007013b	place.from.origin	1	5	0.367051334125267	where	and where did they come from ? "
40013056	place.from.source	1	5	0.362577716615694	where	And his sisters , aren’t they here with us ? Where did this man get all this ? "
43004011	NA	1	5	0.359525547896182	where	The woman said to him , " Sir , you don’t have a bucket and the well is deep . Where would you get this living water ?
43019009	place.from.origin	1	5	0.347399596225168	where	He went back into the residence and spoke to Jesus , " Where are you from ? " Jesus didn’t answer .
43007035	place.goal	1	5	0.344883969197325	where	The Jewish opposition asked each other , " Where does he intend to go that we can’t find him ? Surely he doesn’t intend to go where our people have been scattered and are living among the Greeks ! He isn’t going to teach the Greeks , is he ?
61003004	NA	1	3	0.279891287503704	where	and saying , " Where is the promise of his coming ? After all , nothing has changed — not since the beginning of creation , nor even since the ancestors died . "
46001020a	NA	1	3	0.254485131493461	where	Where are the wise ? 
44007049b	NA	1	3	0.24564444167945	where	‘ or where is my resting place ?
42008025a	NA	1	4	0.212481759440765	where	He said to his disciples , " Where is your faith ? " Filled with awe and wonder , they said to each other , 
41008004	NA	1	5	0.195511887916698	how	His disciples responded , " How can anyone get enough food in this wilderness to satisfy these people ? "
59004001a	NA	1	3	0.142086824888601	what	What is the source of conflict among you ? 
40013027	NA	1	5	0.141241076142296	how	“ The servants of the landowner came and said to him , ‘ Master , didn’t you plant good seed in your field ? Then how is it that it has weeds ? ’
48004015	NA	1	3	0.136317736951656	where	Where then is the great attitude that you had ? I swear that , if possible , you would have dug out your eyes and given them to me .
41005030	person.role.agent	2	3	0.636419451877986	who	At that very moment , Jesus recognized that power had gone out from him . He turned around in the crowd and said , " Who touched my clothes ? "
42008045	person.role.agent	2	3	0.635018571194943	who	" Who touched me ? " Jesus asked . When everyone denied it , Peter said , " Master , the crowds are surrounding you and pressing in on you ! "
43007020	person.role.agent	2	3	0.628085472193634	who	The crowd answered , " You have a demon . Who wants to kill you ? "
45011034b	NA	2	3	0.624330241557695	who	Or who has been his mentor ?
45010016	NA	2	3	0.623111978020342	who	But everyone hasn’t obeyed the good news . As Isaiah says , Lord , who has had faith in our message ?
42022064	person.role.agent	2	3	0.622754315591926	who	They blindfolded him and asked him repeatedly , " Prophesy ! Who hit you ? "
66005002	NA	2	3	0.621374046595967	who	I saw a powerful angel , who proclaimed in a loud voice , " Who is worthy to open the scroll and break its seals ? "
42012014	person.role.agent	2	3	0.617157670751713	who	Jesus said to him , " Man , who appointed me as judge or referee between you and your brother ? "
45010006	NA	2	3	0.615465337737351	who	But the righteousness that comes from faith talks like this : Don’t say in your heart , " Who will go up into heaven ? " ( that is , to bring Christ down )
45010007	NA	2	3	0.615110427846026	who	or " Who will go down into the region below ? " ( that is , to bring Christ up from the dead ) .
43012038a	person.role.agent	2	3	0.615096572495555	who	This was to fulfill the word of the prophet Isaiah : Lord , who has believed through our message ? 
45008033	NA	2	3	0.614003066924144	who	Who will bring a charge against God’s elect people ? It is God who acquits them .
44007027	person.role.agent	2	3	0.613880550231298	who	The one who started the fight against his neighbor pushed Moses aside and said , ‘ Who appointed you as our leader and judge ?
45007024	person.role.agent	2	3	0.613547679080866	who	I’m a miserable human being . Who will deliver me from this dead corpse ?
42003007	person.role.agent	2	4	0.612300780660839	who	Then John said to the crowds who came to be baptized by him , " You children of snakes ! Who warned you to escape from the angry judgment that is coming soon ?
45008031b	person.role.agent	2	3	0.607024623411863	who	If God is for us , who is against us ?
41011028b	person.role.agent	2	3	0.605429078893723	who	Who gave you this authority to do them ? "
47002016	NA	2	3	0.603930221717871	who	We smell like a contagious dead person to those who are dying , but we smell like the fountain of life to those who are being saved . Who is qualified for this kind of ministry ?
40003007	person.role.agent	2	3	0.601836453316828	who	Many Pharisees and Sadducees came to be baptized by John . He said to them , " You children of snakes ! Who warned you to escape from the angry judgment that is coming soon ?
45011034a	NA	2	3	0.601518498702164	who	Who has known the Lord’s mind ? 
45011035	NA	2	3	0.601382576976612	who	Or who has given him a gift and has been paid back by him ?
