WORDFORM	FREQUENCY	MORPHOLOGY
누가	53	누구 -가
누구냐	6	누구 -냐
누구라고	4	누구 -라고
누구란	1	누구 -란
누구로	1	누구 -로
누구를	4	누구 -를
누구며	1	누구 -며
누구시기에	1	누구 -시 -기에
누구신데	1	누구 -신데
누구십니까	1	누구 -십니까
누구에게	3	누구 -에게
누구에게로	1	누구 -에게 -로
누구에게서	1	누구 -에게 -서
누구였습니까	1	누구 -이었습니까
누구요	4	누구 -요
누구의	8	누구 -의
누구이기에	1	누구 -이 -기에
누구이며	1	누구 -며 # Alternative
누구입니까	2	누구 -입니까
누군데	5	누구 -ㄴ데
누굴까	1	누구 -ㄹ까
누굽니까	6	누구 -입니까 # Abbreviation
몇	1	몇
몇 번이나	1	몇 번 -이나
무슨	44	무엇 -은
무엇	3	무엇
무엇과	4	무엇 -과
무엇에	2	무엇 -에
무엇을	13	무엇 -을
무엇이겠느냐	1	무엇 -이 -겠느냐
무엇이겠습니까	1	무엇 -이 -겠습니까
무엇이냐	6	무엇 -이 -냐
무엇이라고	2	무엇 -이 -라고
무엇이며	2	무엇 -며
무엇이었습니까	1	무엇 -이었습니까
무엇이오	1	무엇 -이오
무엇인데	2	무엇 -인데
무엇인지	1	무엇 -인지
무엇입니까	13	무엇 -입니까
뭐라고	1	뭐 -라고
어느	9	어느
어디	15	어디
어디다	1	어디 -다
어디로	3	어디 -로
어디서	14	어디 -서
어디에	1	어디 -에
어디입니까	1	어디 -입니까
어떠하겠습니까	1	어떻 -겠습니까
어떤	8	어떻 -ㄴ
어떻게	81	어떻 -게
어째서	32	어찌 -하여사
어쩌란	1	어쩌 -란
어찌	2	어찌
어찌된	1	어찌 -되ㄴ
언제	8	언제
언제까지	3	언제 -까지
언제부터	1	언제 -부터
얼마나	4	얼마 -나
얼마요	2	얼마 -요
왜	61	왜
