WORDFORM	FREQUENCY	MORPHOLOGY
aka tovaini	1	aka tovai -ni
akanivatirikara	1	aka -nivati -rika -ra
akasamaninivatirorokari	1	aka -samani -nivati -rorokari
akatanake	1	aka -t -an -ak -e
akatovainivati	1	aka tovai -nivati
akatovaiti	5	aka tovai -ti
antari gara	16	antari gara
tata	7	tata
tatampatyo	1	tata -mpa -tyo
tatampatyora	2	tata -mpa -tyo -ra
tatarika	5	tata -rika
tatarikatyo	5	tata -rika -tyo
tatatayo	1	tata -tyo # typographic error?
tatatyo	26	tata -tyo
tatoita	13	tata -oita
tyampa ankantaigakempa	1	tya -mpa a- n- kant -aig -ak -empa
tyampa nonkantaigakempa	1	tya -mpa no- kant -aig -ak -empa
tyampatyo onkantaenkani	1	tya -mpa -tyo o- n- kant -a -en -kani
tyampatyo pinkantaigakempa	1	tya -mpa -tyo pi- n- kant -aig -ak -empa
tyampatyora	3	tya -mpa -tyo -ra
tyampatyora okantira	1	tya -mpa -tyo -ra o- kant -i -ra
tyani	36	tya -ni
tyanimpatyo	8	tya -ni -mpa -tyo
tyanimpatyora	36	tya -ni -mpa -tyo -ra
tyaniratyo	2	tya -ni -ra -tyo
tyanirika	1	tya -ni -rika
tyanirikaratyo	1	tya -ni -rika -ra -tyo
tyanirikatyo	3	tya -ni -rika -tyo
tyanirorokari	1	tya -ni -rorokari
tyanityo	3	tya -ni -tyo
tyanityora	6	tya -ni -tyo -ra
tyara	25	tya -ra
tyara ankantaigakempara	2	tya -ra a- n- kant -aig -ak -empa -ra
tyara ankantaigakeri	1	tya -ra a- n- kant -aig -ak -e -ri
tyara ikantaigakara	4	tya -ra i- kant -aig -ak -a -ra
tyara ikantaigana	1	tya -ra i- kant -aig -a -na # an or na?
tyara ikantaka	1	tya -ra i- kant -ak -a
tyara ikantakara	4	tya -ra i- kant -ak -a -ra
tyara ikantakempi	1	tya -ra i- kant -ak -e -mpi
tyara ikantakerira	1	tya -ra i- kant -ak -e -ri -ra
tyara ikantanakara	1	tya -ra i- kant -an -ak -a -ra 
tyara inkantaigakeri	1	tya -ra i- n- kant -aig -ak -e -ri
tyara inkantaiganaempa	1	tya -ra i- n- kant -aig -a -na -empa # an or na?
tyara inkantakempa	2	tya -ra i- n- kant -ak -empa
tyara inkantakempara	5	tya -ra i- n- kant -ak -empa -ra
tyara inkantakenkani	2	tya -ra i- n- kant -ak -en -kani
tyara nokanti	1	tya -ra no- kant -i
tyara nonkantaigakempara	1	tya -ra no- n- kant -aig -ak -empa -ra
tyara nonkantaige	1	tya -ra no- n- kant -aig -e
tyara nonkantaigempi	1	tya -ra no- n- kant -aig -e -mpi
tyara nonkantakempa	4	tya -ra no- n- kant -ak -empa
tyara nonkantakempara	2	tya -ra no- n- kant -ak -empa -ra
